1
 ESATAN-TMS  2025                                                      Page     1
 16 February  2026  10:31:22                                  DRAGOSAT_V2_GEO_HOT





  TIMEN =      0.00      MODULE SOLVFM      LOOPCT =    29
 ENBALA = 9.405E-03      ENBALR = 5.E-05


 TABLE OUTPUT WITH ZENTS = 'L,T,QS,QE,QA,QI,C'
 FOR NODES OF ZLABEL = ' '

 ================================================================================


+DRAGOSAT_V2_GEO_HOT                                                             


          NODE   LABEL                              T             QS            

          358          0.00          0.00          0.00         11.48
          359          0.00          0.00          0.00         11.48
          360          0.00          0.00          0.00         11.48
          361          0.00          0.00          0.00         11.48
          362          0.00          0.00          0.00         11.48
          363          0.00          0.00          0.00         11.48
          364          0.00          0.00          0.00         11.48
          365          0.00          0.00          0.00         11.48
          400          0.02          0.05          0.00          9.68
          401          0.02          0.05          0.00          9.68
          402          0.02          0.05          0.00          9.68
          403          0.02          0.05          0.00          9.68
          404          0.02          0.04          0.00          9.68
          405          0.02          0.04          0.00          9.68
